Step,C1,C2,C3,C4,C5,C6,C7,C8,C9
0,0,0,0,0,0,1.0,0,0,0
1,0.8176,0.5,0.5,0.5,0.0832,0.5,0.5,0.5,0.0832
2,0.8176,0.6169,0.9341,0.6792,0.5675,0.6754,0.4256,0.6792,0.5675
3,0.833,0.4564,0.9518,0.8024,0.4805,0.6932,0.2652,0.8024,0.4805
4,0.8081,0.4555,0.8961,0.8065,0.459,0.7237,0.3015,0.8065,0.459
5,0.8231,0.467,0.8963,0.7932,0.4299,0.7247,0.3321,0.7932,0.4299
6,0.8299,0.4726,0.9045,0.7932,0.436,0.7215,0.3223,0.7932,0.436
7,0.8272,0.4708,0.9052,0.7952,0.4409,0.7215,0.3223,0.7952,0.4409
8,0.8272,0.4708,0.9052,0.7956,0.44,0.722,0.3223,0.7956,0.44
9,0.8273,0.4708,0.9047,0.7954,0.4393,0.7221,0.3229,0.7954,0.4393
